"Campaign","Ad group","Keyword","Match type","Status","Max CPC","Final URL"
"退職リリーフ｜初期検証","AG01_サポート比較","失業保険 サポート","Broad","Enabled","250","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG01_%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%AF%94%E8%BC%83&utm_term=%E5%A4%B1%E6%A5%AD%E4%BF%9D%E9%99%BA%20%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88"
"退職リリーフ｜初期検証","AG01_サポート比較","失業保険 申請サポート","Broad","Enabled","230","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG01_%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%AF%94%E8%BC%83&utm_term=%E5%A4%B1%E6%A5%AD%E4%BF%9D%E9%99%BA%20%E7%94%B3%E8%AB%8B%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88"
"退職リリーフ｜初期検証","AG01_サポート比較","退職給付金 サポート","Broad","Enabled","210","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG01_%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%AF%94%E8%BC%83&utm_term=%E9%80%80%E8%81%B7%E7%B5%A6%E4%BB%98%E9%87%91%20%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88"
"退職リリーフ｜初期検証","AG01_サポート比較","退職給付金 申請サポート","Broad","Enabled","210","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG01_%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%AF%94%E8%BC%83&utm_term=%E9%80%80%E8%81%B7%E7%B5%A6%E4%BB%98%E9%87%91%20%E7%94%B3%E8%AB%8B%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88"
"退職リリーフ｜初期検証","AG01_サポート比較","退職 給付金 相談","Broad","Enabled","180","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG01_%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%AF%94%E8%BC%83&utm_term=%E9%80%80%E8%81%B7%20%E7%B5%A6%E4%BB%98%E9%87%91%20%E7%9B%B8%E8%AB%87"
"退職リリーフ｜初期検証","AG01_サポート比較","失業保険 サポート 料金","Broad","Enabled","200","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG01_%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E6%AF%94%E8%BC%83&utm_term=%E5%A4%B1%E6%A5%AD%E4%BF%9D%E9%99%BA%20%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%20%E6%96%99%E9%87%91"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","退職給付金 200万","Broad","Enabled","150","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG02_%E9%80%80%E8%81%B7%E7%B5%A6%E4%BB%98%E9%87%91_%E9%87%91%E9%A1%8D&utm_term=%E9%80%80%E8%81%B7%E7%B5%A6%E4%BB%98%E9%87%91%20200%E4%B8%87"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","退職給付金 300万","Broad","Enabled","150","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG02_%E9%80%80%E8%81%B7%E7%B5%A6%E4%BB%98%E9%87%91_%E9%87%91%E9%A1%8D&utm_term=%E9%80%80%E8%81%B7%E7%B5%A6%E4%BB%98%E9%87%91%20300%E4%B8%87"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","退職給付金 最大","Broad","Enabled","140","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG02_%E9%80%80%E8%81%B7%E7%B5%A6%E4%BB%98%E9%87%91_%E9%87%91%E9%A1%8D&utm_term=%E9%80%80%E8%81%B7%E7%B5%A6%E4%BB%98%E9%87%91%20%E6%9C%80%E5%A4%A7"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","退職給付金 受給額","Broad","Enabled","130","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG02_%E9%80%80%E8%81%B7%E7%B5%A6%E4%BB%98%E9%87%91_%E9%87%91%E9%A1%8D&utm_term=%E9%80%80%E8%81%B7%E7%B5%A6%E4%BB%98%E9%87%91%20%E5%8F%97%E7%B5%A6%E9%A1%8D"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","退職 給付金 いくら","Broad","Enabled","120","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG02_%E9%80%80%E8%81%B7%E7%B5%A6%E4%BB%98%E9%87%91_%E9%87%91%E9%A1%8D&utm_term=%E9%80%80%E8%81%B7%20%E7%B5%A6%E4%BB%98%E9%87%91%20%E3%81%84%E3%81%8F%E3%82%89"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","失業保険 いくら","Broad","Enabled","110","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG02_%E9%80%80%E8%81%B7%E7%B5%A6%E4%BB%98%E9%87%91_%E9%87%91%E9%A1%8D&utm_term=%E5%A4%B1%E6%A5%AD%E4%BF%9D%E9%99%BA%20%E3%81%84%E3%81%8F%E3%82%89"
"退職リリーフ｜初期検証","AG03_自己都合_開始時期","自己都合 退職 失業保険 いつから","Broad","Enabled","75","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG03_%E8%87%AA%E5%B7%B1%E9%83%BD%E5%90%88_%E9%96%8B%E5%A7%8B%E6%99%82%E6%9C%9F&utm_term=%E8%87%AA%E5%B7%B1%E9%83%BD%E5%90%88%20%E9%80%80%E8%81%B7%20%E5%A4%B1%E6%A5%AD%E4%BF%9D%E9%99%BA%20%E3%81%84%E3%81%A4%E3%81%8B%E3%82%89"
"退職リリーフ｜初期検証","AG03_自己都合_開始時期","自己都合 退職 失業保険 待機期間","Broad","Enabled","75","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG03_%E8%87%AA%E5%B7%B1%E9%83%BD%E5%90%88_%E9%96%8B%E5%A7%8B%E6%99%82%E6%9C%9F&utm_term=%E8%87%AA%E5%B7%B1%E9%83%BD%E5%90%88%20%E9%80%80%E8%81%B7%20%E5%A4%B1%E6%A5%AD%E4%BF%9D%E9%99%BA%20%E5%BE%85%E6%A9%9F%E6%9C%9F%E9%96%93"
"退職リリーフ｜初期検証","AG03_自己都合_開始時期","退職 失業保険 自己都合","Broad","Enabled","80","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG03_%E8%87%AA%E5%B7%B1%E9%83%BD%E5%90%88_%E9%96%8B%E5%A7%8B%E6%99%82%E6%9C%9F&utm_term=%E9%80%80%E8%81%B7%20%E5%A4%B1%E6%A5%AD%E4%BF%9D%E9%99%BA%20%E8%87%AA%E5%B7%B1%E9%83%BD%E5%90%88"
"退職リリーフ｜初期検証","AG03_自己都合_開始時期","退職前 失業保険","Broad","Enabled","70","https://taishoku-relief.com/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=AG03_%E8%87%AA%E5%B7%B1%E9%83%BD%E5%90%88_%E9%96%8B%E5%A7%8B%E6%99%82%E6%9C%9F&utm_term=%E9%80%80%E8%81%B7%E5%89%8D%20%E5%A4%B1%E6%A5%AD%E4%BF%9D%E9%99%BA"
